time,grid_load,soc
0.0,23.0,50.68666666666666
1.0,23.0,50.85333333333333
2.0,23.0,51.019999999999996
3.0,23.0,51.18666666666666
4.0,23.0,51.35333333333333
5.0,23.0,51.519999999999996
6.0,23.0,51.68666666666666
7.0,23.0,51.85333333333333
8.0,23.0,52.019999999999996
9.0,23.0,52.18666666666666
10.0,23.0,52.35333333333333
11.0,23.0,52.519999999999996
12.0,23.0,52.68666666666666
13.0,23.0,52.85333333333333
14.0,23.0,53.019999999999996
15.0,23.0,53.18666666666666
16.0,23.0,53.35333333333333
17.0,23.0,53.519999999999996
18.0,23.0,53.68666666666667
19.0,23.0,53.85333333333333
20.0,23.0,54.019999999999996
21.0,23.0,54.18666666666667
22.0,23.0,54.35333333333333
23.0,23.0,54.519999999999996
24.0,23.0,54.68666666666667
25.0,23.0,54.85333333333333
26.0,23.0,55.019999999999996
27.0,23.0,55.18666666666666
28.0,23.0,55.35333333333333
29.0,23.0,55.519999999999996
30.0,23.0,55.68666666666666
31.0,23.0,55.85333333333333
32.0,23.0,56.019999999999996
33.0,23.0,56.18666666666666
34.0,23.0,56.353333333333325
35.0,23.0,56.519999999999996
36.0,23.0,56.68666666666666
37.0,23.0,56.853333333333325
38.0,23.0,57.019999999999996
39.0,23.0,57.18666666666666
40.0,23.0,57.353333333333325
41.0,23.0,57.519999999999996
42.0,23.0,57.68666666666666
43.0,23.0,57.853333333333325
44.0,23.0,58.019999999999996
45.0,23.0,58.18666666666666
46.0,23.0,58.353333333333325
47.0,23.0,58.519999999999996
48.0,23.0,58.68666666666666
49.0,23.0,58.853333333333325
50.0,23.0,59.01999999999999
51.0,23.0,59.18666666666666
52.0,23.0,59.353333333333325
53.0,23.0,59.51999999999999
54.0,23.0,59.68666666666666
55.0,23.0,59.853333333333325
56.0,23.0,60.01999999999999
57.0,23.0,60.18666666666665
58.0,23.0,60.353333333333325
59.0,23.0,60.51999999999999
60.0,23.0,60.68666666666665
61.0,23.0,60.853333333333325
62.0,23.0,61.01999999999999
63.0,23.0,61.18666666666665
64.0,23.0,61.353333333333325
65.0,23.0,61.51999999999999
66.0,23.0,61.68666666666665
67.0,23.0,61.853333333333325
68.0,23.0,62.01999999999999
69.0,23.0,62.18666666666665
70.0,23.0,62.353333333333325
71.0,23.0,62.51999999999999
72.0,23.0,62.68666666666665
73.0,23.0,62.85333333333332
74.0,23.0,63.01999999999999
75.0,23.0,63.18666666666665
76.0,23.0,63.353333333333325
77.0,23.0,63.51999999999998
78.0,23.0,63.68666666666665
79.0,23.0,63.85333333333332
80.0,23.0,64.01999999999998
81.0,23.0,64.18666666666665
82.0,23.0,64.35333333333332
83.0,23.0,64.51999999999998
84.0,23.0,64.68666666666665
85.0,23.0,64.85333333333332
86.0,23.0,65.01999999999998
87.0,23.0,65.18666666666665
88.0,23.0,65.35333333333332
89.0,23.0,65.51999999999998
90.0,23.0,65.68666666666665
91.0,23.0,65.85333333333332
92.0,23.0,66.01999999999998
93.0,23.0,66.18666666666665
94.0,23.0,66.35333333333331
95.0,23.0,66.51999999999998
96.0,23.0,66.68666666666665
97.0,23.0,66.85333333333331
98.0,23.0,67.01999999999998
99.0,23.0,67.18666666666664
100.0,23.0,67.35333333333331
101.0,23.0,67.51999999999998
102.0,23.0,67.68666666666665
103.0,23.0,67.85333333333331
104.0,23.0,68.01999999999998
105.0,23.0,68.18666666666664
106.0,23.0,68.35333333333331
107.0,23.0,68.51999999999998
108.0,23.0,68.68666666666664
109.0,23.0,68.85333333333331
110.0,23.0,69.01999999999998
111.0,23.0,69.18666666666664
112.0,23.0,69.35333333333331
113.0,23.0,69.51999999999998
114.0,23.0,69.68666666666664
115.0,23.0,69.85333333333331
116.0,23.0,70.01999999999998
117.0,23.0,70.18666666666664
118.0,23.0,70.35333333333331
119.0,23.0,70.51999999999998
120.0,23.0,70.68666666666664
121.0,23.0,70.85333333333331
122.0,23.0,71.01999999999998
123.0,23.0,71.18666666666664
124.0,23.0,71.35333333333331
125.0,23.0,71.51999999999998
126.0,23.0,71.68666666666664
127.0,23.0,71.85333333333331
128.0,23.0,72.01999999999998
129.0,23.0,72.18666666666664
130.0,23.0,72.35333333333331
131.0,23.0,72.51999999999998
132.0,23.0,72.68666666666664
133.0,23.0,72.85333333333331
134.0,23.0,73.01999999999998
135.0,23.0,73.18666666666664
136.0,23.0,73.35333333333331
137.0,23.0,73.51999999999998
138.0,23.0,73.68666666666664
139.0,23.0,73.85333333333331
140.0,23.0,74.01999999999997
